id,text,category_id,priority,status,created_at,author_id,assigned_to
2226,"Обратите внимание на то, что у нас вал двигателя после фрезеровки весь в царапинах, клиент вернет такую продукцию. Невозможно продолжать нормальную работу в таких условиях.",3,3,new,2026-05-24 12:00:00,1,
2227,"Вчера во время рабочей смены произошло следующее: поверхность заготовки при финальной приемке имеет трещину, брак превышает норму. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2228,"Обратите внимание на то, что у нас вал двигателя на участке сборки имеет раковины в литье, детали идут в утиль. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2229,"Довожу до вашего сведения, что защитное покрытие в партии номер сорок со сколами, невозможно собрать узел. Невозможно продолжать нормальную работу в таких условиях.",3,3,new,2026-05-24 12:00:00,1,
2230,"Вчера во время рабочей смены произошло следующее: вал двигателя после шлифовки искривлен, зазоры слишком большие. Надеюсь на оперативное решение данной проблемы.",3,3,new,2026-05-24 12:00:00,1,
2231,"В очередной раз сообщаю, что линейный размер в партии номер сорок выходит за пределы допуска, клиент вернет такую продукцию. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2232,"Вчера во время рабочей смены произошло следующее: линейный размер после термической обработки имеет сорванную резьбу, брак превышает норму. Прошу принять срочные меры и прислать ответственного специалиста.",3,3,new,2026-05-24 12:00:00,1,
2233,"Срочное обращение к руководству: защитное покрытие после фрезеровки имеет трещину, зазоры слишком большие. Прошу принять срочные меры и прислать ответственного специалиста.",3,3,new,2026-05-24 12:00:00,1,
2234,"В очередной раз сообщаю, что допуск по чертежу в партии номер сорок имеет раковины в литье, клиент вернет такую продукцию. Надеюсь на оперативное решение данной проблемы.",3,3,new,2026-05-24 12:00:00,1,
2235,"В очередной раз сообщаю, что толщина металла в партии номер сорок имеет трещину, брак превышает норму. Невозможно продолжать нормальную работу в таких условиях.",3,3,new,2026-05-24 12:00:00,1,
2236,"В очередной раз сообщаю, что толщина металла после термической обработки со сколами, брак превышает норму. Это мешает выполнению дневного плана производства.",3,3,new,2026-05-24 12:00:00,1,
2237,"Вчера во время рабочей смены произошло следующее: готовая продукция на участке сборки плохо обработан, брак превышает норму. Прошу принять срочные меры и прислать ответственного специалиста.",3,3,new,2026-05-24 12:00:00,1,
2238,"Вчера во время рабочей смены произошло следующее: допуск по чертежу после шлифовки со сколами, невозможно собрать узел. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2239,"Вчера во время рабочей смены произошло следующее: защитное покрытие при финальной приемке имеет раковины в литье, размеры ушли на два миллиметра. Надеюсь на оперативное решение данной проблемы.",3,3,new,2026-05-24 12:00:00,1,
2240,"Срочное обращение к руководству: линейный размер на контроле ОТК весь в царапинах, придется переделывать всю смену. Это мешает выполнению дневного плана производства.",3,3,new,2026-05-24 12:00:00,1,
2241,"В очередной раз сообщаю, что партия деталей после термической обработки не соответствует чертежу, размеры ушли на два миллиметра. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2242,"Довожу до вашего сведения, что корпус изделия после термической обработки плохо обработан, размеры ушли на два миллиметра. Это мешает выполнению дневного плана производства.",3,3,new,2026-05-24 12:00:00,1,
2243,"Довожу до вашего сведения, что корпус изделия после шлифовки с дефектами геометрии, придется переделывать всю смену. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2244,"Срочное обращение к руководству: готовая продукция на контроле ОТК со сколами, клиент вернет такую продукцию. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2245,"Вчера во время рабочей смены произошло следующее: сварной шов после фрезеровки имеет раковины в литье, детали идут в утиль. Прошу принять срочные меры и прислать ответственного специалиста.",3,3,new,2026-05-24 12:00:00,1,
2246,"Довожу до вашего сведения, что партия деталей в партии номер сорок имеет сорванную резьбу, невозможно собрать узел. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2247,"В очередной раз сообщаю, что готовая продукция на участке сборки со сколами, брак превышает норму. Невозможно продолжать нормальную работу в таких условиях.",3,3,new,2026-05-24 12:00:00,1,
2248,"Срочное обращение к руководству: линейный размер после термической обработки весь в царапинах, отдел контроля не принимает работу. Прошу принять срочные меры и прислать ответственного специалиста.",3,3,new,2026-05-24 12:00:00,1,
2249,"Вчера во время рабочей смены произошло следующее: толщина металла в партии номер сорок с дефектами геометрии, придется переделывать всю смену. Надеюсь на оперативное решение данной проблемы.",3,3,new,2026-05-24 12:00:00,1,
2250,"Вчера во время рабочей смены произошло следующее: допуск по чертежу на контроле ОТК искривлен, размеры ушли на два миллиметра. Невозможно продолжать нормальную работу в таких условиях.",3,3,new,2026-05-24 12:00:00,1,
2251,"Довожу до вашего сведения, что готовая продукция после шлифовки не соответствует чертежу, детали идут в утиль. Невозможно продолжать нормальную работу в таких условиях.",3,3,new,2026-05-24 12:00:00,1,
2252,"В очередной раз сообщаю, что поверхность заготовки после шлифовки весь в царапинах, зазоры слишком большие. Надеюсь на оперативное решение данной проблемы.",3,3,new,2026-05-24 12:00:00,1,
2253,"Срочное обращение к руководству: защитное покрытие в партии номер сорок не соответствует чертежу, размеры ушли на два миллиметра. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2254,"Довожу до вашего сведения, что сварной шов при финальной приемке имеет раковины в литье, детали идут в утиль. Прошу принять срочные меры и прислать ответственного специалиста.",3,3,new,2026-05-24 12:00:00,1,
2255,"Срочное обращение к руководству: корпус изделия на участке сборки плохо обработан, брак превышает норму. Надеюсь на оперативное решение данной проблемы.",3,3,new,2026-05-24 12:00:00,1,
2256,"Вчера во время рабочей смены произошло следующее: поверхность заготовки на контроле ОТК выходит за пределы допуска, клиент вернет такую продукцию. Надеюсь на оперативное решение данной проблемы.",3,3,new,2026-05-24 12:00:00,1,
2257,"В очередной раз сообщаю, что резьбовое соединение после шлифовки плохо обработан, отдел контроля не принимает работу. Невозможно продолжать нормальную работу в таких условиях.",3,3,new,2026-05-24 12:00:00,1,
2258,"Срочное обращение к руководству: партия деталей после фрезеровки имеет раковины в литье, детали идут в утиль. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2259,"В очередной раз сообщаю, что сварной шов после фрезеровки искривлен, детали идут в утиль. Это мешает выполнению дневного плана производства.",3,3,new,2026-05-24 12:00:00,1,
2260,"Срочное обращение к руководству: линейный размер на участке сборки со сколами, зазоры слишком большие. Надеюсь на оперативное решение данной проблемы.",3,3,new,2026-05-24 12:00:00,1,
2261,"Довожу до вашего сведения, что корпус изделия в партии номер сорок не соответствует чертежу, детали идут в утиль. Прошу принять срочные меры и прислать ответственного специалиста.",3,3,new,2026-05-24 12:00:00,1,
2262,"Обратите внимание на то, что у нас защитное покрытие на участке сборки искривлен, придется переделывать всю смену. Невозможно продолжать нормальную работу в таких условиях.",3,3,new,2026-05-24 12:00:00,1,
2263,"Срочное обращение к руководству: вал двигателя после термической обработки с дефектами геометрии, клиент вернет такую продукцию. Невозможно продолжать нормальную работу в таких условиях.",3,3,new,2026-05-24 12:00:00,1,
2264,"Вчера во время рабочей смены произошло следующее: корпус изделия после шлифовки весь в царапинах, детали идут в утиль. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2265,"В очередной раз сообщаю, что готовая продукция на участке сборки весь в царапинах, придется переделывать всю смену. Это мешает выполнению дневного плана производства.",3,3,new,2026-05-24 12:00:00,1,
2266,"Довожу до вашего сведения, что защитное покрытие после шлифовки искривлен, детали идут в утиль. Невозможно продолжать нормальную работу в таких условиях.",3,3,new,2026-05-24 12:00:00,1,
2267,"Довожу до вашего сведения, что сварной шов после термической обработки весь в царапинах, зазоры слишком большие. Невозможно продолжать нормальную работу в таких условиях.",3,3,new,2026-05-24 12:00:00,1,
2268,"Обратите внимание на то, что у нас защитное покрытие после фрезеровки плохо обработан, невозможно собрать узел. Пожалуйста, разберитесь с этим как можно быстрее.",3,3,new,2026-05-24 12:00:00,1,
2269,"Вчера во время рабочей смены произошло следующее: сварной шов после фрезеровки выходит за пределы допуска, невозможно собрать узел. Прошу принять срочные меры и прислать ответственного специалиста.",3,3,new,2026-05-24 12:00:00,1,
2270,нужно срочно,4,3,new,2026-05-24 12:00:00,1,
2271,требуется заказать,4,3,new,2026-05-24 12:00:00,1,
2272,пластиковая пленка,4,3,new,2026-05-24 12:00:00,1,
2273,болты и,4,3,new,2026-05-24 12:00:00,1,
2274,выдайте новые,4,3,new,2026-05-24 12:00:00,1,
2275,полностью закончились,4,3,new,2026-05-24 12:00:00,1,
2276,сверла по,4,3,new,2026-05-24 12:00:00,1,
2277,нет в,4,3,new,2026-05-24 12:00:00,1,
2278,ветошь для,4,3,new,2026-05-24 12:00:00,1,
2279,металлические хомуты,4,3,new,2026-05-24 12:00:00,1,
2280,выдайте со,4,3,new,2026-05-24 12:00:00,1,
2281,привезите на,4,3,new,2026-05-24 12:00:00,1,
2282,защитные перчатки,4,3,new,2026-05-24 12:00:00,1,
2283,отрезные диски,4,3,new,2026-05-24 12:00:00,1,
2284,сварочные электроды,4,3,new,2026-05-24 12:00:00,1,
2285,концевые фрезы,4,3,new,2026-05-24 12:00:00,1,
2286,не хватает,4,3,new,2026-05-24 12:00:00,1,
2287,срочно требуются,4,3,new,2026-05-24 12:00:00,1,
2288,наждачная бумага,4,3,new,2026-05-24 12:00:00,1,
2289,закончился запас,4,3,new,2026-05-24 12:00:00,1,
2290,машинное масло,4,3,new,2026-05-24 12:00:00,1,
2291,защитные маски,4,3,new,2026-05-24 12:00:00,1,
2292,для операторов станков срочно требуются защитные маски,4,3,new,2026-05-24 12:00:00,1,
2293,болты и гайки для выполнения заказа полностью закончились,4,3,new,2026-05-24 12:00:00,1,
2294,на склад снабжения выдайте новые наждачная бумага,4,3,new,2026-05-24 12:00:00,1,
2295,защитные перчатки на текущую смену выдайте новые,4,3,new,2026-05-24 12:00:00,1,
2296,машинное масло для ремонтной бригады нужно срочно получить,4,3,new,2026-05-24 12:00:00,1,
2297,сверла по металлу закончился запас для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2298,сверла по металлу для операторов станков закончился запас,4,3,new,2026-05-24 12:00:00,1,
2299,металлические хомуты нужно срочно получить для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2300,концевые фрезы требуется заказать на склад снабжения,4,3,new,2026-05-24 12:00:00,1,
2301,пластиковая пленка привезите на участок для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2302,концевые фрезы нужно срочно получить на текущую смену,4,3,new,2026-05-24 12:00:00,1,
2303,машинное масло выдайте со склада на текущую смену,4,3,new,2026-05-24 12:00:00,1,
2304,сварочные электроды для выполнения заказа срочно требуются,4,3,new,2026-05-24 12:00:00,1,
2305,болты и гайки срочно требуются для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2306,машинное масло выдайте новые на склад снабжения,4,3,new,2026-05-24 12:00:00,1,
2307,сверла по металлу выдайте новые на текущую смену,4,3,new,2026-05-24 12:00:00,1,
2308,на склад снабжения нужно срочно получить защитные перчатки,4,3,new,2026-05-24 12:00:00,1,
2309,машинное масло закончился запас на сборочный участок,4,3,new,2026-05-24 12:00:00,1,
2310,металлические хомуты на сборочный участок выдайте со склада,4,3,new,2026-05-24 12:00:00,1,
2311,концевые фрезы требуется заказать для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2312,сварочные электроды закончился запас на текущую смену,4,3,new,2026-05-24 12:00:00,1,
2313,защитные маски выдайте со склада на текущую смену,4,3,new,2026-05-24 12:00:00,1,
2314,наждачная бумага требуется заказать в цех номер три,4,3,new,2026-05-24 12:00:00,1,
2315,пластиковая пленка выдайте новые для выполнения заказа,4,3,new,2026-05-24 12:00:00,1,
2316,наждачная бумага закончился запас на склад снабжения,4,3,new,2026-05-24 12:00:00,1,
2317,сверла по металлу для операторов станков полностью закончились,4,3,new,2026-05-24 12:00:00,1,
2318,ветошь для протирки на склад снабжения выдайте новые,4,3,new,2026-05-24 12:00:00,1,
2319,сварочные электроды полностью закончились на склад снабжения,4,3,new,2026-05-24 12:00:00,1,
2320,наждачная бумага на текущую смену требуется заказать,4,3,new,2026-05-24 12:00:00,1,
2321,концевые фрезы на склад снабжения закончился запас,4,3,new,2026-05-24 12:00:00,1,
2322,для операторов станков требуется заказать защитные перчатки,4,3,new,2026-05-24 12:00:00,1,
2323,на склад снабжения полностью закончились болты и гайки,4,3,new,2026-05-24 12:00:00,1,
2324,для операторов станков выдайте новые концевые фрезы,4,3,new,2026-05-24 12:00:00,1,
2325,концевые фрезы на сборочный участок требуется заказать,4,3,new,2026-05-24 12:00:00,1,
2326,металлические хомуты полностью закончились на склад снабжения,4,3,new,2026-05-24 12:00:00,1,
2327,для выполнения заказа срочно требуются машинное масло,4,3,new,2026-05-24 12:00:00,1,
2328,наждачная бумага полностью закончились на текущую смену,4,3,new,2026-05-24 12:00:00,1,
2329,металлические хомуты на текущую смену полностью закончились,4,3,new,2026-05-24 12:00:00,1,
2330,сварочные электроды требуется заказать для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2331,на склад снабжения выдайте со склада сварочные электроды,4,3,new,2026-05-24 12:00:00,1,
2332,для операторов станков нужно срочно получить защитные маски,4,3,new,2026-05-24 12:00:00,1,
2333,наждачная бумага для ремонтной бригады привезите на участок,4,3,new,2026-05-24 12:00:00,1,
2334,защитные маски для выполнения заказа срочно требуются,4,3,new,2026-05-24 12:00:00,1,
2335,сверла по металлу для выполнения заказа закончился запас,4,3,new,2026-05-24 12:00:00,1,
2336,сварочные электроды для выполнения заказа выдайте со склада,4,3,new,2026-05-24 12:00:00,1,
2337,ветошь для протирки для операторов станков срочно требуются,4,3,new,2026-05-24 12:00:00,1,
2338,машинное масло на сборочный участок срочно требуются,4,3,new,2026-05-24 12:00:00,1,
2339,пластиковая пленка для выполнения заказа полностью закончились,4,3,new,2026-05-24 12:00:00,1,
2340,металлические хомуты выдайте новые на текущую смену,4,3,new,2026-05-24 12:00:00,1,
2341,защитные перчатки для выполнения заказа полностью закончились,4,3,new,2026-05-24 12:00:00,1,
2342,машинное масло требуется заказать для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2343,концевые фрезы на сборочный участок выдайте новые,4,3,new,2026-05-24 12:00:00,1,
2344,для ремонтной бригады требуется заказать сверла по металлу,4,3,new,2026-05-24 12:00:00,1,
2345,сварочные электроды срочно требуются на текущую смену,4,3,new,2026-05-24 12:00:00,1,
2346,на склад снабжения полностью закончились защитные перчатки,4,3,new,2026-05-24 12:00:00,1,
2347,для ремонтной бригады срочно требуются пластиковая пленка,4,3,new,2026-05-24 12:00:00,1,
2348,защитные маски на сборочный участок привезите на участок,4,3,new,2026-05-24 12:00:00,1,
2349,для операторов станков полностью закончились ветошь для протирки,4,3,new,2026-05-24 12:00:00,1,
2350,для выполнения заказа нужно срочно получить металлические хомуты,4,3,new,2026-05-24 12:00:00,1,
2351,пластиковая пленка для операторов станков нужно срочно получить,4,3,new,2026-05-24 12:00:00,1,
2352,наждачная бумага для выполнения заказа привезите на участок,4,3,new,2026-05-24 12:00:00,1,
2353,концевые фрезы для выполнения заказа выдайте новые,4,3,new,2026-05-24 12:00:00,1,
2354,защитные маски требуется заказать для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2355,концевые фрезы в цех номер три выдайте новые,4,3,new,2026-05-24 12:00:00,1,
2356,концевые фрезы на текущую смену срочно требуются,4,3,new,2026-05-24 12:00:00,1,
2357,металлические хомуты полностью закончились на текущую смену,4,3,new,2026-05-24 12:00:00,1,
2358,концевые фрезы выдайте со склада для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2359,защитные маски для выполнения заказа привезите на участок,4,3,new,2026-05-24 12:00:00,1,
2360,защитные перчатки закончился запас для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2361,для ремонтной бригады срочно требуются концевые фрезы,4,3,new,2026-05-24 12:00:00,1,
2362,защитные перчатки для выполнения заказа нужно срочно получить,4,3,new,2026-05-24 12:00:00,1,
2363,защитные перчатки нужно срочно получить для выполнения заказа,4,3,new,2026-05-24 12:00:00,1,
2364,болты и гайки полностью закончились для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2365,концевые фрезы в цех номер три закончился запас,4,3,new,2026-05-24 12:00:00,1,
2366,ветошь для протирки требуется заказать для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2367,для ремонтной бригады полностью закончились наждачная бумага,4,3,new,2026-05-24 12:00:00,1,
2368,металлические хомуты выдайте новые для выполнения заказа,4,3,new,2026-05-24 12:00:00,1,
2369,защитные перчатки в цех номер три требуется заказать,4,3,new,2026-05-24 12:00:00,1,
2370,защитные перчатки для операторов станков требуется заказать,4,3,new,2026-05-24 12:00:00,1,
2371,защитные маски закончился запас для выполнения заказа,4,3,new,2026-05-24 12:00:00,1,
2372,на сборочный участок полностью закончились защитные маски,4,3,new,2026-05-24 12:00:00,1,
2373,пластиковая пленка в цех номер три требуется заказать,4,3,new,2026-05-24 12:00:00,1,
2374,сварочные электроды привезите на участок для выполнения заказа,4,3,new,2026-05-24 12:00:00,1,
2375,сверла по металлу выдайте новые для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2376,пластиковая пленка выдайте со склада для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2377,для ремонтной бригады выдайте новые пластиковая пленка,4,3,new,2026-05-24 12:00:00,1,
2378,наждачная бумага полностью закончились для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2379,для ремонтной бригады закончился запас пластиковая пленка,4,3,new,2026-05-24 12:00:00,1,
2380,сверла по металлу на сборочный участок выдайте новые,4,3,new,2026-05-24 12:00:00,1,
2381,на склад снабжения закончился запас наждачная бумага,4,3,new,2026-05-24 12:00:00,1,
2382,сварочные электроды на склад снабжения выдайте со склада,4,3,new,2026-05-24 12:00:00,1,
2383,металлические хомуты привезите на участок для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2384,пластиковая пленка на текущую смену требуется заказать,4,3,new,2026-05-24 12:00:00,1,
2385,на склад снабжения выдайте со склада наждачная бумага,4,3,new,2026-05-24 12:00:00,1,
2386,защитные маски для операторов станков полностью закончились,4,3,new,2026-05-24 12:00:00,1,
2387,на текущую смену полностью закончились наждачная бумага,4,3,new,2026-05-24 12:00:00,1,
2388,машинное масло для выполнения заказа выдайте новые,4,3,new,2026-05-24 12:00:00,1,
2389,защитные перчатки на склад снабжения требуется заказать,4,3,new,2026-05-24 12:00:00,1,
2390,машинное масло для операторов станков закончился запас,4,3,new,2026-05-24 12:00:00,1,
2391,защитные маски для операторов станков выдайте со склада,4,3,new,2026-05-24 12:00:00,1,
2392,концевые фрезы на склад снабжения требуется заказать,4,3,new,2026-05-24 12:00:00,1,
2393,для выполнения заказа выдайте со склада защитные перчатки,4,3,new,2026-05-24 12:00:00,1,
2394,сварочные электроды закончился запас в цех номер три,4,3,new,2026-05-24 12:00:00,1,
2395,для выполнения заказа срочно требуются защитные перчатки,4,3,new,2026-05-24 12:00:00,1,
2396,защитные перчатки привезите на участок для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2397,сварочные электроды полностью закончились на текущую смену,4,3,new,2026-05-24 12:00:00,1,
2398,машинное масло выдайте новые для выполнения заказа,4,3,new,2026-05-24 12:00:00,1,
2399,защитные маски требуется заказать на сборочный участок,4,3,new,2026-05-24 12:00:00,1,
2400,для ремонтной бригады требуется заказать болты и гайки,4,3,new,2026-05-24 12:00:00,1,
2401,наждачная бумага на склад снабжения выдайте со склада,4,3,new,2026-05-24 12:00:00,1,
2402,металлические хомуты срочно требуются для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2403,наждачная бумага срочно требуются для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2404,наждачная бумага закончился запас для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2405,наждачная бумага закончился запас для выполнения заказа,4,3,new,2026-05-24 12:00:00,1,
2406,металлические хомуты закончился запас в цех номер три,4,3,new,2026-05-24 12:00:00,1,
2407,сверла по металлу выдайте новые для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2408,защитные перчатки закончился запас для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2409,концевые фрезы закончился запас для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2410,концевые фрезы выдайте со склада на склад снабжения,4,3,new,2026-05-24 12:00:00,1,
2411,защитные перчатки на сборочный участок требуется заказать,4,3,new,2026-05-24 12:00:00,1,
2412,наждачная бумага на склад снабжения выдайте новые,4,3,new,2026-05-24 12:00:00,1,
2413,сварочные электроды закончился запас на склад снабжения,4,3,new,2026-05-24 12:00:00,1,
2414,болты и гайки на склад снабжения срочно требуются,4,3,new,2026-05-24 12:00:00,1,
2415,защитные маски привезите на участок на склад снабжения,4,3,new,2026-05-24 12:00:00,1,
2416,пластиковая пленка на сборочный участок закончился запас,4,3,new,2026-05-24 12:00:00,1,
2417,на склад снабжения требуется заказать наждачная бумага,4,3,new,2026-05-24 12:00:00,1,
2418,концевые фрезы на склад снабжения срочно требуются,4,3,new,2026-05-24 12:00:00,1,
2419,на сборочный участок закончился запас металлические хомуты,4,3,new,2026-05-24 12:00:00,1,
2420,на текущую смену закончился запас наждачная бумага,4,3,new,2026-05-24 12:00:00,1,
2421,пластиковая пленка срочно требуются на склад снабжения,4,3,new,2026-05-24 12:00:00,1,
2422,концевые фрезы выдайте со склада на сборочный участок,4,3,new,2026-05-24 12:00:00,1,
2423,для ремонтной бригады выдайте со склада машинное масло,4,3,new,2026-05-24 12:00:00,1,
2424,концевые фрезы полностью закончились на сборочный участок,4,3,new,2026-05-24 12:00:00,1,
2425,сварочные электроды на сборочный участок закончился запас,4,3,new,2026-05-24 12:00:00,1,
2426,в цех номер три полностью закончились пластиковая пленка,4,3,new,2026-05-24 12:00:00,1,
2427,пластиковая пленка привезите на участок для выполнения заказа,4,3,new,2026-05-24 12:00:00,1,
2428,на сборочный участок требуется заказать металлические хомуты,4,3,new,2026-05-24 12:00:00,1,
2429,защитные перчатки на склад снабжения нужно срочно получить,4,3,new,2026-05-24 12:00:00,1,
2430,защитные маски полностью закончились на сборочный участок,4,3,new,2026-05-24 12:00:00,1,
2431,на склад снабжения выдайте новые пластиковая пленка,4,3,new,2026-05-24 12:00:00,1,
2432,на сборочный участок привезите на участок концевые фрезы,4,3,new,2026-05-24 12:00:00,1,
2433,для операторов станков привезите на участок пластиковая пленка,4,3,new,2026-05-24 12:00:00,1,
2434,в цех номер три выдайте новые концевые фрезы,4,3,new,2026-05-24 12:00:00,1,
2435,болты и гайки полностью закончились для операторов станков,4,3,new,2026-05-24 12:00:00,1,
2436,сверла по металлу полностью закончились для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2437,металлические хомуты полностью закончились на сборочный участок,4,3,new,2026-05-24 12:00:00,1,
2438,пластиковая пленка на склад снабжения полностью закончились,4,3,new,2026-05-24 12:00:00,1,
2439,машинное масло нужно срочно получить для ремонтной бригады,4,3,new,2026-05-24 12:00:00,1,
2440,наждачная бумага закончился запас в цех номер три,4,3,new,2026-05-24 12:00:00,1,
2441,на склад снабжения полностью закончились пластиковая пленка,4,3,new,2026-05-24 12:00:00,1,
2442,"В очередной раз сообщаю, что ветошь для протирки для ремонтной бригады привезите на участок, сварка приостановлена. Невозможно продолжать нормальную работу в таких условиях.",4,3,new,2026-05-24 12:00:00,1,
2443,"В очередной раз сообщаю, что концевые фрезы на сборочный участок требуется заказать, выдайте хотя бы старые запасы. Прошу принять срочные меры и прислать ответственного специалиста.",4,3,new,2026-05-24 12:00:00,1,
2444,"Вчера во время рабочей смены произошло следующее: отрезные диски для болгарки на текущую смену нет в наличии на складе, срочно подпишите заявку у директора. Надеюсь на оперативное решение данной проблемы.",4,3,new,2026-05-24 12:00:00,1,
2445,"В очередной раз сообщаю, что машинное масло для операторов станков нет в наличии на складе, прошу оформить закупку. Пожалуйста, разберитесь с этим как можно быстрее.",4,3,new,2026-05-24 12:00:00,1,
2446,"В очередной раз сообщаю, что металлические хомуты в цех номер три полностью закончились, срочно подпишите заявку у директора. Невозможно продолжать нормальную работу в таких условиях.",4,3,new,2026-05-24 12:00:00,1,
2447,"Вчера во время рабочей смены произошло следующее: защитные перчатки для ремонтной бригады закончился запас, сварка приостановлена. Надеюсь на оперативное решение данной проблемы.",4,3,new,2026-05-24 12:00:00,1,
2448,"В очередной раз сообщаю, что пластиковая пленка на текущую смену требуется заказать, иначе сорвем сроки. Невозможно продолжать нормальную работу в таких условиях.",4,3,new,2026-05-24 12:00:00,1,
2449,"Обратите внимание на то, что у нас болты и гайки на текущую смену не хватает для работы, иначе сорвем сроки. Это мешает выполнению дневного плана производства.",4,3,new,2026-05-24 12:00:00,1,
2450,"Срочное обращение к руководству: наждачная бумага для операторов станков привезите на участок, нечем протирать детали. Прошу принять срочные меры и прислать ответственного специалиста.",4,3,new,2026-05-24 12:00:00,1,
2451,"В очередной раз сообщаю, что ветошь для протирки на склад снабжения нет в наличии на складе, работа может остановиться. Надеюсь на оперативное решение данной проблемы.",4,3,new,2026-05-24 12:00:00,1,
2452,"Срочное обращение к руководству: сверла по металлу для ремонтной бригады нужно срочно получить, нечем протирать детали. Надеюсь на оперативное решение данной проблемы.",4,3,new,2026-05-24 12:00:00,1,
2453,"Срочное обращение к руководству: металлические хомуты в цех номер три привезите на участок, срочно подпишите заявку у директора. Пожалуйста, разберитесь с этим как можно быстрее.",4,3,new,2026-05-24 12:00:00,1,
2454,"Срочное обращение к руководству: сварочные электроды на текущую смену требуется заказать, иначе сорвем сроки. Пожалуйста, разберитесь с этим как можно быстрее.",4,3,new,2026-05-24 12:00:00,1,
2455,"Срочное обращение к руководству: наждачная бумага для операторов станков выдайте со склада, нечем протирать детали. Надеюсь на оперативное решение данной проблемы.",4,3,new,2026-05-24 12:00:00,1,
2456,"В очередной раз сообщаю, что отрезные диски для болгарки на текущую смену выдайте новые, сварка приостановлена. Пожалуйста, разберитесь с этим как можно быстрее.",4,3,new,2026-05-24 12:00:00,1,
2457,"Довожу до вашего сведения, что металлические хомуты на склад снабжения требуется заказать, иначе сорвем сроки. Прошу принять срочные меры и прислать ответственного специалиста.",4,3,new,2026-05-24 12:00:00,1,
2458,"Обратите внимание на то, что у нас защитные перчатки на склад снабжения выдайте со склада, сварка приостановлена. Это мешает выполнению дневного плана производства.",4,3,new,2026-05-24 12:00:00,1,
2459,"Вчера во время рабочей смены произошло следующее: концевые фрезы для операторов станков нет в наличии на складе, работа может остановиться. Надеюсь на оперативное решение данной проблемы.",4,3,new,2026-05-24 12:00:00,1,
2460,"Вчера во время рабочей смены произошло следующее: металлические хомуты для ремонтной бригады нужно срочно получить, выдайте хотя бы старые запасы. Пожалуйста, разберитесь с этим как можно быстрее.",4,3,new,2026-05-24 12:00:00,1,
